Income,Needs,Wants,Savings,Total_Spending,Financial_Balance,Tipe
36085000.0,20344000.0,12443000.0,4950000.0,32787000.0,3298000.0,normal
4979000.0,3365000.0,1317000.0,1062000.0,4682000.0,297000.0,hemat
89485000.0,56083000.0,17515000.0,24775000.0,73598000.0,15887000.0,hemat
77968000.0,42767000.0,25103000.0,14771000.0,67870000.0,10098000.0,normal
31911000.0,16440000.0,17908000.0,2300000.0,34348000.0,-2437000.0,boros
34535000.0,16948000.0,20706000.0,1950000.0,37654000.0,-3119000.0,boros
34385000.0,19464000.0,15507000.0,3326000.0,34971000.0,-586000.0,boros
61639000.0,35975000.0,17519000.0,12966000.0,53494000.0,8145000.0,hemat
32996000.0,19640000.0,11388000.0,4973000.0,31028000.0,1968000.0,normal
20784000.0,12970000.0,5937000.0,3840000.0,18907000.0,1877000.0,hemat
26210000.0,11726000.0,15210000.0,1249000.0,26936000.0,-726000.0,boros
66802000.0,44162000.0,18749000.0,17103000.0,62911000.0,3891000.0,hemat
11449000.0,6901000.0,2936000.0,2253000.0,9837000.0,1612000.0,hemat
41027000.0,24838000.0,16652000.0,2911000.0,41490000.0,-463000.0,boros
35565000.0,16340000.0,21884000.0,2468000.0,38224000.0,-2659000.0,boros
52303000.0,29346000.0,24119000.0,3222000.0,53465000.0,-1162000.0,boros
7170000.0,3166000.0,4200000.0,558000.0,7366000.0,-196000.0,boros
5112000.0,2535000.0,2154000.0,608000.0,4689000.0,423000.0,normal
60966000.0,35833000.0,25860000.0,8604000.0,61693000.0,-727000.0,normal
49265000.0,21996000.0,27317000.0,3833000.0,49313000.0,-48000.0,boros
13012000.0,6716000.0,4605000.0,2529000.0,11321000.0,1691000.0,normal
34166000.0,18451000.0,17924000.0,3456000.0,36375000.0,-2209000.0,boros
49812000.0,21539000.0,25459000.0,6312000.0,46998000.0,2814000.0,boros
32976000.0,20483000.0,12497000.0,3535000.0,32980000.0,-4000.0,normal
11542000.0,8530000.0,3380000.0,1193000.0,11910000.0,-368000.0,normal
14056000.0,11105000.0,2533000.0,3069000.0,13638000.0,418000.0,hemat
23421000.0,11925000.0,12719000.0,1362000.0,24644000.0,-1223000.0,boros
1933000.0,1175000.0,666000.0,282000.0,1841000.0,92000.0,normal
66355000.0,42217000.0,22819000.0,8545000.0,65036000.0,1319000.0,normal
62852000.0,35981000.0,27374000.0,5719000.0,63355000.0,-503000.0,boros
81233000.0,52042000.0,25979000.0,10678000.0,78021000.0,3212000.0,normal
11781000.0,6314000.0,5762000.0,1158000.0,12076000.0,-295000.0,boros
56617000.0,31232000.0,28122000.0,2679000.0,59354000.0,-2737000.0,boros
64361000.0,37059000.0,22153000.0,13816000.0,59212000.0,5149000.0,hemat
55420000.0,34652000.0,11310000.0,15603000.0,45962000.0,9458000.0,hemat
33610000.0,19535000.0,10711000.0,6589000.0,30246000.0,3364000.0,hemat
30094000.0,16090000.0,16491000.0,1668000.0,32581000.0,-2487000.0,boros
14634000.0,7245000.0,7238000.0,1124000.0,14483000.0,151000.0,boros
85632000.0,58562000.0,15636000.0,23065000.0,74198000.0,11434000.0,hemat
11357000.0,6637000.0,4820000.0,1477000.0,11457000.0,-100000.0,normal
63106000.0,28407000.0,36631000.0,3513000.0,65038000.0,-1932000.0,boros
77962000.0,39031000.0,37712000.0,12361000.0,76743000.0,1219000.0,normal
82431000.0,36102000.0,48380000.0,5508000.0,84482000.0,-2051000.0,boros
87230000.0,45551000.0,25202000.0,22367000.0,70753000.0,16477000.0,hemat
54381000.0,30719000.0,30449000.0,5360000.0,61168000.0,-6787000.0,boros
12875000.0,7142000.0,5130000.0,2450000.0,12272000.0,603000.0,normal
49691000.0,22822000.0,26783000.0,3641000.0,49605000.0,86000.0,boros
40249000.0,27518000.0,12517000.0,5200000.0,40035000.0,214000.0,normal
62861000.0,37966000.0,23676000.0,6656000.0,61642000.0,1219000.0,normal
40198000.0,19351000.0,23839000.0,3392000.0,43190000.0,-2992000.0,boros
74793000.0,51987000.0,16123000.0,14727000.0,68110000.0,6683000.0,hemat
39734000.0,26592000.0,6989000.0,8831000.0,33581000.0,6153000.0,hemat
70598000.0,45998000.0,17273000.0,12286000.0,63271000.0,7327000.0,hemat
82692000.0,50466000.0,24801000.0,20090000.0,75267000.0,7425000.0,hemat
67311000.0,39051000.0,25108000.0,8629000.0,64159000.0,3152000.0,normal
70581000.0,46744000.0,19320000.0,10788000.0,66064000.0,4517000.0,hemat
64589000.0,33286000.0,35347000.0,3598000.0,68633000.0,-4044000.0,boros
74744000.0,31215000.0,49044000.0,3810000.0,80259000.0,-5515000.0,boros
28481000.0,9750000.0,19338000.0,1353000.0,29088000.0,-607000.0,boros
85043000.0,44580000.0,50671000.0,4349000.0,95251000.0,-10208000.0,boros
70419000.0,47371000.0,18552000.0,13630000.0,65923000.0,4496000.0,normal
69333000.0,28107000.0,44541000.0,3018000.0,72648000.0,-3315000.0,boros
9599000.0,5085000.0,3508000.0,2239000.0,8593000.0,1006000.0,hemat
30724000.0,17577000.0,11631000.0,5270000.0,29208000.0,1516000.0,normal
24152000.0,10616000.0,13608000.0,2568000.0,24224000.0,-72000.0,boros
11117000.0,7247000.0,4257000.0,1468000.0,11504000.0,-387000.0,normal
80797000.0,34328000.0,49217000.0,8682000.0,83545000.0,-2748000.0,boros
55268000.0,31756000.0,14817000.0,15351000.0,46573000.0,8695000.0,hemat
80660000.0,48530000.0,35154000.0,6195000.0,83684000.0,-3024000.0,boros
50850000.0,30224000.0,12557000.0,11411000.0,42781000.0,8069000.0,hemat
83615000.0,50709000.0,21261000.0,19018000.0,71970000.0,11645000.0,hemat
87589000.0,35458000.0,53190000.0,4323000.0,88648000.0,-1059000.0,boros
61718000.0,28850000.0,32478000.0,4780000.0,61328000.0,390000.0,boros
47121000.0,26078000.0,10195000.0,14741000.0,36273000.0,10848000.0,hemat
21354000.0,13718000.0,5094000.0,5049000.0,18812000.0,2542000.0,hemat
81647000.0,45058000.0,28649000.0,18058000.0,73707000.0,7940000.0,hemat
71223000.0,40589000.0,19205000.0,18215000.0,59794000.0,11429000.0,hemat
31923000.0,12378000.0,20134000.0,2444000.0,32512000.0,-589000.0,boros
58608000.0,34811000.0,26247000.0,6316000.0,61058000.0,-2450000.0,normal
55348000.0,25989000.0,31079000.0,4540000.0,57068000.0,-1720000.0,boros
11400000.0,6915000.0,3219000.0,2447000.0,10134000.0,1266000.0,hemat
83415000.0,55012000.0,28222000.0,9595000.0,83234000.0,181000.0,normal
2306000.0,1299000.0,904000.0,367000.0,2203000.0,103000.0,normal
78000000.0,31323000.0,45142000.0,6574000.0,76465000.0,1535000.0,boros
47339000.0,21608000.0,27694000.0,2841000.0,49302000.0,-1963000.0,boros
74877000.0,27368000.0,48789000.0,6359000.0,76157000.0,-1280000.0,boros
51874000.0,29348000.0,17143000.0,10272000.0,46491000.0,5383000.0,hemat
14998000.0,9552000.0,5671000.0,1828000.0,15223000.0,-225000.0,normal
45035000.0,22224000.0,13502000.0,12562000.0,35726000.0,9309000.0,hemat
79987000.0,42617000.0,36725000.0,8917000.0,79342000.0,645000.0,normal
21410000.0,8530000.0,14590000.0,1395000.0,23120000.0,-1710000.0,boros
