Date,Description,Amount,TransactionCategory,PaymentMethod,TransactionType,Weekday,Month
2026-01-01,Kiriman Uang Saku Orang Tua,2000000,Allowance / Salary,Transfer Bank,Income,Thursday,2026-01
2026-01-02,Bayar Kosan Bulanan,600000,Bills & Utilities,Transfer Bank,Expenses,Friday,2026-01
2026-01-04,Mie ayam kantin kampus,16150,Food & Dining,Tunai,Expenses,Sunday,2026-01
2026-01-05,Iuran kas kelas angkatan,40433,Education,Tunai,Expenses,Monday,2026-01
2026-01-06,Isi saldo kartu Commuter Line,22963,Transportation,Tunai,Expenses,Tuesday,2026-01
2026-01-06,Beli sabun & detergen Indomaret,42693,Groceries,Tunai,Expenses,Tuesday,2026-01
2026-01-07,Fotokopi tugas & jilid laporan,38180,Education,QRIS,Expenses,Wednesday,2026-01
2026-01-07,Isi bensin Pertalite motor,24072,Transportation,Tunai,Expenses,Wednesday,2026-01
2026-01-08,Sarapan bubur ayam,18058,Food & Dining,QRIS,Expenses,Thursday,2026-01
2026-01-08,Tiket nonton bioskop XXI,44870,Entertainment,Tunai,Expenses,Thursday,2026-01
2026-01-09,Beli token listrik kamar kos,39247,Bills & Utilities,Tunai,Expenses,Friday,2026-01
2026-01-09,Isi saldo kartu Commuter Line,38501,Transportation,QRIS,Expenses,Friday,2026-01
2026-01-11,Isi pulsa paket data hemat,40386,Bills & Utilities,Tunai,Expenses,Sunday,2026-01
2026-01-12,Beli sabun & detergen Indomaret,41129,Groceries,QRIS,Expenses,Monday,2026-01
2026-01-12,Beli air galon & mie instan kosan,22308,Groceries,Tunai,Expenses,Monday,2026-01
2026-01-13,Iuran kas kelas angkatan,24175,Education,Tunai,Expenses,Tuesday,2026-01
2026-01-14,Jajan cilok depan gerbang,31113,Others,Tunai,Expenses,Wednesday,2026-01
2026-01-14,Beli token listrik kamar kos,34799,Bills & Utilities,QRIS,Expenses,Wednesday,2026-01
2026-01-16,Isi bensin Pertalite motor,16845,Transportation,QRIS,Expenses,Friday,2026-01
2026-01-17,Langganan Netflix patungan,42626,Entertainment,QRIS,Expenses,Saturday,2026-01
2026-01-17,Beli buku bekas di pasar,26369,Education,QRIS,Expenses,Saturday,2026-01
2026-01-19,Patungan Wifi kosan,25785,Bills & Utilities,Tunai,Expenses,Monday,2026-01
2026-01-20,Mie ayam kantin kampus,33651,Food & Dining,QRIS,Expenses,Tuesday,2026-01
2026-01-22,Makan siang di Warteg,29733,Food & Dining,QRIS,Expenses,Thursday,2026-01
2026-01-22,Beli buku bekas di pasar,15493,Education,QRIS,Expenses,Thursday,2026-01
2026-01-24,Tiket nonton bioskop XXI,33932,Entertainment,QRIS,Expenses,Saturday,2026-01
2026-01-24,Fotokopi tugas & jilid laporan,37612,Education,QRIS,Expenses,Saturday,2026-01
2026-01-25,Iuran kas kelas angkatan,40069,Education,QRIS,Expenses,Sunday,2026-01
2026-01-25,Belanja bulanan di Alfamart,32107,Groceries,QRIS,Expenses,Sunday,2026-01
2026-01-25,Mie ayam kantin kampus,20833,Food & Dining,Tunai,Expenses,Sunday,2026-01
2026-01-25,Makan siang di Warteg,33462,Food & Dining,Tunai,Expenses,Sunday,2026-01
2026-01-25,Checkout barang random Tokopedia,23103,Shopping,QRIS,Expenses,Sunday,2026-01
2026-01-26,Jajan cilok depan gerbang,24577,Others,Tunai,Expenses,Monday,2026-01
2026-01-28,Beli sabun & detergen Indomaret,44726,Groceries,Tunai,Expenses,Wednesday,2026-01
2026-02-01,Kiriman Uang Saku Orang Tua,2000000,Allowance / Salary,Transfer Bank,Income,Sunday,2026-02
2026-02-02,Bayar Kosan Bulanan,600000,Bills & Utilities,Transfer Bank,Expenses,Monday,2026-02
2026-02-06,Patungan kado wisuda teman,39921,Others,Tunai,Expenses,Friday,2026-02
2026-02-06,Langganan Netflix patungan,18695,Entertainment,Tunai,Expenses,Friday,2026-02
2026-02-08,Isi bensin Pertalite motor,22201,Transportation,QRIS,Expenses,Sunday,2026-02
2026-02-08,Gofood Kopi Susu Kekinian,31662,Food & Dining,Tunai,Expenses,Sunday,2026-02
2026-02-10,Nasi Padang lauk telur,32634,Food & Dining,Tunai,Expenses,Tuesday,2026-02
2026-02-11,Beli sabun & detergen Indomaret,21624,Groceries,QRIS,Expenses,Wednesday,2026-02
2026-02-11,Beli sabun & detergen Indomaret,28982,Groceries,QRIS,Expenses,Wednesday,2026-02
2026-02-13,Patungan kado wisuda teman,33152,Others,QRIS,Expenses,Friday,2026-02
2026-02-14,Isi bensin Pertalite motor,35314,Transportation,QRIS,Expenses,Saturday,2026-02
2026-02-14,Nasi Padang lauk telur,16157,Food & Dining,QRIS,Expenses,Saturday,2026-02
2026-02-15,Jajan cilok depan gerbang,44441,Others,QRIS,Expenses,Sunday,2026-02
2026-02-15,Isi saldo kartu Commuter Line,24540,Transportation,QRIS,Expenses,Sunday,2026-02
2026-02-16,Beli token listrik kamar kos,41787,Bills & Utilities,Tunai,Expenses,Monday,2026-02
2026-02-17,Tiket nonton bioskop XXI,44575,Entertainment,QRIS,Expenses,Tuesday,2026-02
2026-02-19,Belanja bulanan di Alfamart,42708,Groceries,QRIS,Expenses,Thursday,2026-02
2026-02-20,Beli kaos polos di Shopee,33570,Shopping,Tunai,Expenses,Friday,2026-02
2026-02-20,Fotokopi tugas & jilid laporan,43711,Education,QRIS,Expenses,Friday,2026-02
2026-02-21,Sarapan bubur ayam,17820,Food & Dining,Tunai,Expenses,Saturday,2026-02
2026-02-21,Beli token listrik kamar kos,35726,Bills & Utilities,Tunai,Expenses,Saturday,2026-02
2026-02-22,Beli token listrik kamar kos,30781,Bills & Utilities,QRIS,Expenses,Sunday,2026-02
2026-02-22,Fotokopi tugas & jilid laporan,27297,Education,Tunai,Expenses,Sunday,2026-02
2026-02-22,Isi pulsa paket data hemat,18297,Bills & Utilities,QRIS,Expenses,Sunday,2026-02
2026-02-23,Bayar parkir kampus,30164,Others,QRIS,Expenses,Monday,2026-02
2026-02-23,Iuran kas kelas angkatan,39321,Education,Tunai,Expenses,Monday,2026-02
2026-02-23,Beli token listrik kamar kos,17913,Bills & Utilities,QRIS,Expenses,Monday,2026-02
