Date,Description,Amount,TransactionCategory,PaymentMethod,TransactionType,Weekday,Month
2026-01-01,Uang Saku Bulanan dari Ortu,2000000,Allowance / Salary,Transfer Bank,Income,Thursday,2026-01
2026-01-01,Makan siang di kantin kampus,20809,Food & Dining,Tunai,Expenses,Thursday,2026-01
2026-01-01,Sarapan bubur ayam komplek,13136,Food & Dining,QRIS,Expenses,Thursday,2026-01
2026-01-02,Makan siang di kantin kampus,12584,Food & Dining,Tunai,Expenses,Friday,2026-01
2026-01-02,Bayar parkir mall/kampus,24799,Others,QRIS,Expenses,Friday,2026-01
2026-01-02,Makan malam Warteg,27175,Food & Dining,QRIS,Expenses,Friday,2026-01
2026-01-03,Jajan Mixue bareng teman,39158,Food & Dining,QRIS,Expenses,Saturday,2026-01
2026-01-04,Makan siang di kantin kampus,49793,Food & Dining,QRIS,Expenses,Sunday,2026-01
2026-01-05,Fotokopi tugas kuliah,13805,Education,QRIS,Expenses,Monday,2026-01
2026-01-05,Beli aksesoris gadget,35172,Shopping,QRIS,Expenses,Monday,2026-01
2026-01-06,Top up e-money Commuter Line,28376,Transportation,QRIS,Expenses,Tuesday,2026-01
2026-01-06,Makan siang di kantin kampus,21499,Food & Dining,Tunai,Expenses,Tuesday,2026-01
2026-01-07,Beli aksesoris gadget,24143,Shopping,QRIS,Expenses,Wednesday,2026-01
2026-01-07,Sarapan bubur ayam komplek,22196,Food & Dining,QRIS,Expenses,Wednesday,2026-01
2026-01-08,Kebutuhan harian Alfamart,33993,Groceries,QRIS,Expenses,Thursday,2026-01
2026-01-08,Checkout barang di Tokopedia,34650,Shopping,Tunai,Expenses,Thursday,2026-01
2026-01-09,Isi pulsa paket data internet,15925,Bills & Utilities,QRIS,Expenses,Friday,2026-01
2026-01-09,Beli cemilan & air mineral,15443,Groceries,QRIS,Expenses,Friday,2026-01
2026-01-09,Gojek ke stasiun,11988,Transportation,QRIS,Expenses,Friday,2026-01
2026-01-09,Makan Shihlin / McD,22655,Food & Dining,QRIS,Expenses,Friday,2026-01
2026-01-10,Sarapan bubur ayam komplek,19287,Food & Dining,QRIS,Expenses,Saturday,2026-01
2026-01-10,Patungan kado teman wisuda,13748,Others,QRIS,Expenses,Saturday,2026-01
2026-01-11,Bayar parkir mall/kampus,33774,Others,QRIS,Expenses,Sunday,2026-01
2026-01-12,Sarapan bubur ayam komplek,17578,Food & Dining,QRIS,Expenses,Monday,2026-01
2026-01-12,Nongkrong di Coffee Shop,15976,Food & Dining,QRIS,Expenses,Monday,2026-01
2026-01-13,Nongkrong di Coffee Shop,12735,Food & Dining,QRIS,Expenses,Tuesday,2026-01
2026-01-13,Makan malam Warteg,28722,Food & Dining,Tunai,Expenses,Tuesday,2026-01
2026-01-13,Beli aksesoris gadget,31687,Shopping,Tunai,Expenses,Tuesday,2026-01
2026-01-14,Beli Kopi Susu Kekinian,11992,Food & Dining,QRIS,Expenses,Wednesday,2026-01
2026-01-14,Isi bensin Pertalite motor,31356,Transportation,Tunai,Expenses,Wednesday,2026-01
2026-01-15,Nongkrong di Coffee Shop,41352,Food & Dining,Tunai,Expenses,Thursday,2026-01
2026-01-16,Makan Shihlin / McD,12480,Food & Dining,Tunai,Expenses,Friday,2026-01
2026-01-16,Makan siang di kantin kampus,30513,Food & Dining,Tunai,Expenses,Friday,2026-01
2026-01-17,Makan Shihlin / McD,12614,Food & Dining,QRIS,Expenses,Saturday,2026-01
2026-01-17,Nasi Padang lauk ayam,39536,Food & Dining,QRIS,Expenses,Saturday,2026-01
2026-01-18,Nasi Padang lauk ayam,26204,Food & Dining,Tunai,Expenses,Sunday,2026-01
2026-01-18,Beli aksesoris gadget,19699,Shopping,QRIS,Expenses,Sunday,2026-01
2026-01-19,Gojek ke stasiun,39089,Transportation,QRIS,Expenses,Monday,2026-01
2026-01-20,Langganan Spotify Premium,23512,Entertainment,QRIS,Expenses,Tuesday,2026-01
2026-01-20,Beli Kopi Susu Kekinian,40830,Food & Dining,Tunai,Expenses,Tuesday,2026-01
